name;verse;movie
ARAGORN;This day does not belong to one man, but to all. Let us together rebuild this world, that we may share in the days of peace;The Return of the King
ARAGORN;Hannon le.;The Return of the King
ARAGORN;My friends,you bow to no-one.;The Return of the King
ARAGORN;Let the Lord of the Black Land come forth!Let justice be done upon him!;The Return of the King
ARAGORN;I do not believe it.I will not.;The Return of the King
ARAGORN;Sons of Gondor, of Rohan, my brothers. (They listen to him.) I see it in your eyes, the same fear that would take the heart of me. A day may come when the courage of men fails, when we forsake our friends and break all bonds of fellowship, but it is not this day! An hour of wolves and shattered shields when the age of men comes crashing down, but it is not this day! This day we fight!;The Return of the King
ARAGORN;By all that you hold dear on this good earth, I bid you stand! Men of the West;The Return of the King
ARAGORN;Legolas;The Return of the King
ARAGORN; hold your oath fulfilled.Go.Be at peace.;The Return of the King
ARAGORN;f Sauron had the Ring we would know it.;The Return of the King
ARAGORN;No.There is still hope for Frodo.He needs time and safe passage across the plains ofGorgoroth.We can give him that.;The Return of the King
ARAGORN;Draw out Sauron's armies.Empty his lands. Then we gather our full strength and march on the Black Gate.;The Return of the King
ARAGORN;Not for ourselves.But we can give Frodo his chance if we keep Sauron's eye fixed upon us. Keep him blind to all else that moves.;The Return of the King
ARAGORN;Long have you hunted me.Long have I eluded you.No more!Behold, the Sword of Elendil;The Return of the King
ARAGORN;Pull back! Pull back;The Return of the King
ARAGORN;Hold your ground! Hold your ground!;The Return of the King
ARAGORN;For Frodo;The Return of the King
ARAGORN;Oh, I think he will.;The Return of the King
ARAGORN; Show yourself.;The Return of the King
ARAGORN;Pippin!;The Return of the King
ARAGORN;You may go no further;The Return of the King
ARAGORN;Legolas, fire a warning shot past the boson's ear;The Return of the King
ARAGORN;This army;The Return of the King
ARAGORN;Brego!;The Return of the King
ARAGORN;I do not fear death!;The Return of the King
ARAGORN;Do not look down;The Return of the King
ARAGORN;One who will have your allegiance;The Return of the King
ARAGORN;You will suffer me!;The Return of the King
ARAGORN; I summon you to fulfil your oath!;The Return of the King
ARAGORN;It has been remade Fight for us and regain your honour. What say you?What say you?;The Return of the King
ARAGORN;I am Isildur's heir. Fight for me and I will hold your oaths fulfilled.,What say you?;The Return of the King
ARAGORN;You have my word! Fight and I will release you from this living death What say you?;The Return of the King
ARAGORN;Legolas! Run!;The Return of the King
ARAGORN;Every hour lost hastens Gondor's defeat. We have until dawn then we must ride.;The Return of the King
ARAGORN; My lord Elrond;The Return of the King
ARAGORN;It will not be our end, but his.;The Return of the King
ARAGORN;There are none.;The Return of the King
ARAGORN;Murderers, traitors. You would call upon them to fight? They believe in nothing. They answer to no one;The Return of the King
ARAGORN;?-chebin Estel anim.;The Return of the King
ARAGORN;Eowyn?;The Return of the King
ARAGORN;Why have you come?;The Return of the King
ARAGORN;It is but a shadow and a thought that you love. I cannot give you what you seek.;The Return of the King
ARAGORN;I have wished you joy since first I saw you;The Return of the King
ARAGORN;You said this fortress would never fall while your men defend it. They still defend it. They have died defending it.;The Two Towers
ARAGORN;Is there no other way for the women and children to get out of the caves?;The Two Towers
ARAGORN;Is there no other way?;The Two Towers
ARAGORN; Tell the women and children to make for the mountain pass. And barricade the entrance;The Two Towers
ARAGORN;Nan Barad! Nan Barad! Haldir, nan Barad! (;The Two Towers
ARAGORN;Haldir;The Two Towers
ARAGORN;Ride out with meRide out and meet them.;The Two Towers
ARAGORN;For Rohan. For your people.;The Two Towers
ARAGORN;Gandalf.;The Two Towers
ARAGORN;How long do you need?;The Two Towers
ARAGORN;Gimli;The Two Towers
ARAGORN;It's a long way.;The Two Towers
